अफ़्रीका	非洲
2012 ग्रीष्मकालीन ओलम्पिक	2012年夏季奥林匹克运动会
सलाउद्दीन	萨拉丁
श्रोडिङ्गरके विडाल	薛定谔猫
अशोक	阿育王
अकबर	阿克巴
सिमोन बोलिवर	西蒙·玻利瓦尔
सम्मोहन	催眠
एंड्र्यू जॉनसन	安德鲁·约翰逊
2016 ग्रीष्मकालीन ओलम्पिक	2016年夏季奥林匹克运动会
क्वामे एन्क्रूमाह	夸梅·恩克鲁玛
हॉन्ग कॉन्ग	香港
मियामी	迈阿密
कराची	卡拉奇
कोरियाई युद्ध	朝鲜战争
ग्वाला तारामंडल	牧夫座
लागोस	拉哥斯
शिशुमार तारामंडल	天龙座
अमेरिकी गृहयुद्ध	南北战争
रियो डि जेनेरो	里约热内卢
मीन तारामंडल	双鱼座
ब्रिटिश साम्राज्य	大英帝国
रियल मैड्रिड सी. एफ़	皇家马德里足球俱乐部
शीतयुद्ध	冷战
सियोल	首爾
शंघाई	上海市
एथलेटिक बिलबाओ	毕尔巴鄂竞技俱乐部
सांस्कृतिक क्रांति	文化大革命
लंदन हीथ्रो विमानक्षेत्र	倫敦希斯路機場
महामन्दी	大萧条
एटलेटिको मैड्रिड	马德里竞技俱乐部
वॉल्ट डिज़्नी	華特·迪士尼
मेइजी पुनर्स्थापन	明治维新
रूसी क्रांति	1917年俄国革命
चिंग राजवंश	清朝
वर्साय की सन्धि	凡尔赛条约
आर्किमिडिज़	阿基米德
वियतनाम युद्ध	越南战争
थॉमस अल्वा एडीसन	爱迪生
यूक्लिड	欧几里得
अल्बानियाई भाषा	阿尔巴尼亚语
माइकल फैराडे	麥可·法拉第
बास्क भाषा	巴斯克語
एन्रीको फर्मी	恩里科·费米
फ़िबोन्नाची	斐波那契
ब्रिटिश एयरवेज़	英國航空
डोमेन नाम प्रणाली	域名系统
हेनरी फ़ोर्ड	亨利·福特
जोसेफ फ़ूर्ये	约瑟夫·傅里叶
आरसीडी एस्पेनयॉल	皇家西班牙人體育俱樂部
आर्मीनियाई भाषा	亚美尼亚语
बीज-लेखन	密码学
अंतरजाल नियमावली	网际协议
यूक्रेनी भाषा एवं साहित्य	乌克兰语
बाइट	字节
ऍचटीऍमऍल	HTML
ओग्युस्तें लुई कौशी	奧古斯丁·路易·柯西
आस्की	ASCII
यूनिकोड	Unicode
जिराफ़ तारामंडल	鹿豹座
सीटस तारामंडल	鲸鱼座
कन्या तारामंडल	室女座
नरतुरंग तारामंडल	半人马座
वलांस	瓦朗斯 (德龙省)
कर्क तारामंडल	巨蟹座
सिंह तारामंडल	狮子座
शिकारी तारामंडल	獵戶座
पर्णिन अश्व तारामंडल	飞马座
वॄश्चिक तारामंडल	天蝎座
धनु तारामंडल	人马座
सत्यजित राय	萨蒂亚吉特·雷伊
स्टीवन स्पिलबर्ग	斯蒂芬·斯皮尔伯格
सर्पधारी तारामंडल	蛇夫座
यूरोपीय परिषद	欧洲委员会
सर्प तारामंडल	巨蛇座
भट्टी तारामंडल	天炉座
सप्तर्षि तारामंडल	大熊座
हंस तारामंडल	天鹅座
मिथुन तारामंडल	双子座
तारामंडल	星座
योहानेस गुटेनबर्ग	约翰内斯·古腾堡
उत्तरी युआन राजवंश	北元
जेम्स प्रेस्कॉट जूल	詹姆斯·普雷斯科特·焦耳
योहानेस केप्लर	约翰内斯·开普勒
कान्कुन	坎昆
मैक्स प्लांक	马克斯·普朗克
स्वीडिश भाषा	瑞典語
डेनिश भाषा	丹麦语
निकोला टेस्ला	尼古拉·特斯拉
मुहम्मद इब्न मूसा अल-ख़्वारिज़्मी	花拉子米
जेम्स वाट	詹姆斯·瓦特
नॉर्वेजियाई भाषा	挪威语
चाणक्य	考底利耶
बागमती प्रान्त	巴格馬蒂專區
गाटफ्रीड लैबनिट्ज़	戈特弗里德·莱布尼茨
नोआम चाम्सकी	诺姆·乔姆斯基
पुडिंग	布丁
चॅक भाषा	捷克语
स्लोवाक भाषा	斯洛伐克语
भेरी अंचल	佩里專區
कार्ल मार्क्स	卡尔·马克思
स्लोवेनियाई भाषा	斯洛文尼亚语
हंगेरियाई भाषा	匈牙利语
वोल्टेयर	伏爾泰
एस्टोनियाई भाषा	爱沙尼亚语
मूसा	摩西
लातवियाई भाषा	拉脱维亚语
विद्या	知识
लिथुआनियाई भाषा	立陶宛语
हिन्दू धर्म	印度教
जेम्स क्लर्क माक्सवेल	詹姆斯·克拉克·麦克斯韦
स्तन	乳房
मेंडलीफ	德米特里·伊万诺维奇·门捷列夫
परमाणु	原子
अर्नेस्ट रदरफोर्ड	欧内斯特·卢瑟福
प्रकाश	光
यूनानी भाषा	希腊语
अर्विन श्रोडिन्गर	埃尔温·薛定谔
गंडकी अंचल	甘达基专区
पौराणिक कथाएं	神话
प्रचालन तन्त्र	操作系统
ताजमहल	泰姬陵
आयरिश भाषा	愛爾蘭語
प्रोग्रामिंग भाषा	编程语言
पेंगुइन	企鵝
जनकपुर अंचल	賈納克布爾專區
प-पत्र	电子邮件
एकेश्वरवाद	一神論
जोसिप बरोज़ टिटो	约瑟普·布罗兹·铁托
कर्णाली अंचल	格爾納利專區
आत्मा	灵魂
फ़ारसी भाषा	波斯语
कोशी अंचल	戈希專區
धर्म (पंथ)	宗教
कोरियाई भाषा	朝鮮語
मेची अञ्चल	梅吉專區
अब्राहम	亞伯拉罕
उत्पत्ति पुस्तक	創世記
कैण्टोनी भाषा	广州话
एम्पायर स्टेट बिल्डिंग	帝国大厦
रेने देकार्त	勒内·笛卡儿
मन्दारिन भाषा	官话
सगरमाथा अंचल	萨加玛塔专区
वियतनामी भाषा	越南语
खमेर भाषा	高棉语
लाओ भाषा	老挝语
लुंबिनी	藍毗尼
सिग्मुंड फ़्रोइड	西格蒙德·弗洛伊德
थाई भाषा	泰语
बर्मी भाषा	缅甸语
श्रेणी:तारामंडल	Category:星座
जैन धर्म	耆那教
हंगेरियन ग्रांड प्रिक्स	匈牙利大奖赛
जार्ज विल्हेम फ्रेड्रिक हेगेल	格奥尔格·威廉·弗里德里希·黑格尔
मलय भाषा	马来语
इंडोनेशियाई भाषा	印尼语
मंगोल भाषा	蒙古语
बाकू	巴库
पपिस तारामंडल	船尾座
कज़ाख़ भाषा	哈萨克语
वेदी तारामंडल	天坛座
किर्गिज़ भाषा	柯尔克孜语
देवयानी तारामंडल	仙女座
विश्व धरोहर	世界遗产
ताजिकी भाषा	塔吉克语
उज़्बेक भाषा	乌孜别克语
सलाद	沙律
तुर्कमेन भाषा	土库曼语
यहूदी धर्म	犹太教
थिम्फू	廷布
अप्रवासी घाट	阿普拉瓦西·加特地区
अबु मीना	阿布米那
भास्कर तारामंडल	玉夫座
इब्रानी भाषा	希伯来语
अज़ेरी भाषा	阿塞拜疆语
इब्न खल्दून	伊本·赫勒敦
मेसिडोनियन भाषा	马其顿语
सर्बियाई भाषा	塞尔维亚语
सर्बी क्रोएशियन भाषा	塞尔维亚-克罗地亚语
सूंस तारामंडल	海豚座
हीनश्वान तारामंडल	小犬座
गैलिशियन भाषा	加利西亞語
वेल्श भाषा	威尔士语
दिली	帝力
इमानुएल कांट	伊曼努尔·康德
सिख धर्म	锡克教
जॉन मेनार्ड कीन्स	约翰·梅纳德·凯恩斯
लुफ़्थान्सा	汉莎航空
गाय दी मोपासां	居伊·德·莫泊桑
व्यवहार प्रक्रिया	行為
लाओ-त्सू	老子
जीमेल	Gmail
फ्लेमिश क्षेत्र	弗拉芒大區
गूगल डॉक्स	Google文件
माले	馬累
योग	瑜伽
जॉन लॉक	约翰·洛克
फ्रेडरिक नीत्शे	弗里德里希·尼采
बिश्केक	比什凯克
ज्यां-पाल सार्त्र	让-保罗·萨特
दुशान्बे	杜尚别
गूगल खोज	Google搜索
यकृत	肝臟
तिल्ली	脾脏
